component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L23H15,23,15,0.0010502527399761652,-0.0016761727449370323,-4.031745398911388e-05
L20H4,20,4,0.000985171009854624,-0.0015673404786644696,-3.58335855530135e-05
L4H15,4,15,0.000896894350284505,0.0008219742193454893,0.0008669262979088987
L3H7,3,7,0.0008646097125076802,-0.00026747584342956543,0.0004117754901327819
L9H11,9,11,0.0008291958308801473,-0.001158917095603007,3.395066028688548e-05
L6H9,6,9,0.0007295419530171099,0.0009465719141611428,0.0008163539374747231
L12H1,12,1,0.0006155255364208578,-0.0010633657618267511,-5.6030982878185786e-05
L1H12,1,12,0.0005116586278124391,3.6406080897277704e-05,0.0003215576090463745
L20H1,20,1,0.0005004616772256165,-0.004332944387342885,-0.0014329007486017843
L1H5,1,5,0.0004971041911986385,0.00023604747725702868,0.00039268150562199455
L3H9,3,9,0.00043680537037738,-0.0006278040932445883,1.0961584928592682e-05
L10H12,10,12,0.00034748417575192203,0.00018541405840621916,0.0002826561288136409
L15H13,15,13,0.00026667772269828305,-3.763742563200889e-05,0.00014495166336616627
L15H1,15,1,0.0002462413252853901,-0.002296647647532013,-0.0007709142638415711
L11H14,11,14,0.00022144288551517732,-0.00047172206204115774,-5.582309350735671e-05
L3H13,3,13,0.00022120955513749152,-0.0005484833949949142,-8.666762491547079e-05
L1H4,1,4,0.0002005848942733257,-0.0006587083746747435,-0.000143132413305902
L10H10,10,10,0.00018372622931872584,-0.0018744047095136107,-0.0006395261462142089
L9H13,9,13,8.637948734002698e-05,-0.0003908298364500018,-0.00010450424217598456
L15H6,15,6,8.413631741599481e-05,-0.00043376844103737433,-0.00012302558596535287
L4H8,4,8,4.747873399313374e-05,-0.00047428215422284925,-0.0001612256212932595
L1H10,1,10,2.3035014547923005e-05,-0.0004069950522446186,-0.00014897701216909367
L21H11,21,11,1.2908040023407175e-05,-0.000432431697845459,-0.0001652278551241393
L6H1,6,1,7.6148568129985605e-06,-0.000608393331853363,-0.00023878841865354605
L2H7,2,7,-1.427167799417095e-05,-0.00047031117648621557,-0.00019668747739098882
L21H2,21,2,-0.00010750133816783691,0.0030413677052754107,0.001152046279209462
L9H14,9,14,-0.00017219636498422286,-0.0006183356773562521,-0.00035065208993303456
L25H9,25,9,-0.00017375698903709935,-0.00046516555111586477,-0.0002903204138686055
L25H6,25,6,-0.00017787116329837094,0.0025095350858642673,0.0008970913363666845
L2H1,2,1,-0.00023384719360164397,-0.001051628735007304,-0.000560959810163908
L6H10,6,10,-0.00025884843454127004,-0.00043599489258561164,-0.00032970701775900666
L21H9,21,9,-0.00029598721643775416,-0.0005997368475286757,-0.0004174870688741228
L7H14,7,14,-0.0002990001585425617,-0.0009421618973336487,-0.0005562648540589965
